TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
org.sourceforge.ifx.framework.element.BankSvcRq,class,0.9375,66342,0.916666666666667,5503,0.020833333333333,60839,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
net.sourceforge.squirrel_sql.client.gui.db.AliasInternalFrame,class,0.170186574663362,101610,0.387843058439963,96589,-0.217656483776601,5021,27,51,7,0,113,166,23,8,0,21,0,3,10,589,GA
org.sourceforge.ifx.framework.complextype.DevAppComponent_Type,class,1,8412,0.958333333333333,8549,0.041666666666667,-137,4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
de.paragon.explorer.model.ExplorerModelBuilder,class,0.59172619047619,90119,0.60172619047619,90189,-0.01,-70,13,21,1,0,41,151,18,7,3,1,0,1,6,182,RANDOM
org.sourceforge.ifx.framework.complextype.ChkAcceptCanRq_Type,class,1,20391,0.972222222222222,26080,0.027777777777778,-5689,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
com.lts.application.repository.DirectoryRepository,class,0.9231432036993,78062,0.810660289100589,90999,0.112482914598711,-12937,6,56,2,0,22,178,21,18,0,3,1,1,3,343,RANDOM
org.sourceforge.ifx.framework.complextype.ChkIssueAdviseRs_Type,class,1,20086,0.983333333333333,32931,0.016666666666667,-12845,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
org.sourceforge.ifx.framework.complextype.CustSvcDelRs_Type,class,1,42008,0.981481481481482,84072,0.018518518518518,-42064,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
org.sourceforge.ifx.framework.element.DebitAuthInfo,class,1,4132,0.916666666666667,2128,0.083333333333333,2004,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.CreditSyncRs,class,1,8761,0.916666666666667,2706,0.083333333333333,6055,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
osa.ora.server.client.ui.SettingPanel,class,0.622704228909576,84234,0.274716749657213,70339,0.347987479252363,13895,1,21,5,0,49,67,9,3,0,21,0,0,3,232,GA
org.quickserver.util.xmlreader.ClientHandlerObjectPoolConfig,class,0.916666666666667,67616,0.904761904761905,5007,0.011904761904762,62609,1,4,2,0,9,3,3,3,0,0,0,0,0,42,GA
org.sourceforge.ifx.framework.element.CreditAuthSyncRs,class,1,11461,0.916666666666667,2445,0.083333333333333,9016,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.MediaAcctAdjSyncRs_Type,class,1,12592,0.946666666666667,69430,0.053333333333333,-56838,12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
mygrid.web.ArrayOfDependency,class,0.897325375773652,74167,0.815380931329207,88736,0.081944444444445,-14569,8,20,1,0,12,11,10,10,3,4,0,1,3,103,RANDOM
mygrid.web.MarshalByRefObject,class,0.724327803203661,65422,0.684946060804184,75376,0.039381742399477,-9954,7,12,1,1,1,0,6,6,3,3,0,1,0,70,RANDOM
bcry.bcFileDialog,class,0.204116815501845,86894,0.264909377190865,82187,-0.06079256168902,4707,1,39,3,0,29,42,16,13,0,13,0,0,0,191,GA
org.sourceforge.ifx.framework.element.AppVersionNum,class,0.9375,62361,0.916666666666667,1526,0.020833333333333,60835,1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.ChksumAudRs_Type,class,1,65871,0.950617283950617,79793,0.049382716049383,-13922,12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
net.virtualinfinity.atrobots.hardware.scanning.sonar.Sonar,class,0.642857142857143,75739,0.69047619047619,77370,-0.047619047619047,-1631,4,6,1,0,9,6,4,3,0,2,0,0,3,34,RANDOM
org.sourceforge.ifx.framework.complextype.TerminalSPObjInfo_Type,class,1,6010,0.972222222222222,3030,0.027777777777778,2980,3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
org.dom4j.tree.ConcurrentReaderHashMap,class,0.705334804472808,174474,0.695518130701115,194179,0.009816673771693,-19705,9,141,9,0,37,1557,63,47,1,23,2,4,4,1069,RANDOM
com.allenstudio.ir.ui.MainMenu,class,0.91089051433879,73549,0.875014512945548,75425,0.035876001393242,-1876,2,20,5,0,20,6,4,2,0,4,0,3,11,150,RANDOM
jahuwaldt.plot.PlotAxis,class,0.946168863488141,120729,0.85905712698616,102935,0.087111736501981,17794,5,41,1,2,9,288,28,24,0,14,4,5,2,366,GA
org.sourceforge.ifx.framework.complextype.BankAcctTrnImgRevRs_Type,class,1,30961,0.951388888888889,75744,0.048611111111111,-44783,12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
net.virtualinfinity.atrobots.snapshots.UnknownSnapshot,class,1,5726,1,4128,0,1598,2,2,2,0,1,1,2,2,0,1,0,0,0,16,GA
org.quickserver.net.qsadmin.Data,class,1,9767,0.981481481481482,10635,0.018518518518518,-868,2,6,1,0,0,9,6,6,0,3,0,0,0,40,RANDOM
de.huxhorn.lilith.swing.preferences.EditSourceNameDialog,class,0.134851421188631,107396,0,86970,0.134851421188631,20426,7,36,8,0,28,143,22,20,0,6,0,0,0,228,GA
wheel.AbstractEngine,class,0.64041514041514,71555,0.46011396011396,78031,0.18030118030118,-6476,4,8,1,2,6,15,7,4,3,2,0,2,1,75,RANDOM
org.sourceforge.ifx.framework.complextype.PartyAcctRelAddRq_Type,class,1,11867,0.956140350877193,70248,0.043859649122807,-58381,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
umd.cs.shop.JSState,class,0.568280705574913,81529,0.4227775012444,79327,0.145503204330513,2202,9,26,5,0,28,28,8,6,0,1,0,0,10,178,GA
osa.ora.server.ModernChatServer,class,0.138171697534269,84733,0.133364005226577,87488,0.004807692307692,-2755,18,259,1,0,132,220,60,52,2,18,0,2,82,1366,RANDOM
org.sourceforge.ifx.framework.complextype.BankAcctTrnImgInqRs_Type,class,1,76035,0.932203389830508,103164,0.067796610169492,-27129,25,50,1,1,1,1081,50,50,0,25,1,0,0,476,RANDOM
com.mentorgen.tools.profile.output.ProfileDump,class,1,17768,0.690476190476191,31485,0.309523809523809,-13717,1,3,1,0,2,0,1,1,1,0,0,0,4,56,RANDOM
de.huxhorn.lilith.swing.preferences.SoundsPanel,class,0.279564394663405,74770,0.247303031461447,101622,0.032261363201958,-26852,13,22,7,0,43,7,11,9,0,10,0,0,0,213,RANDOM
org.exolab.jms.tools.migration.proxy.StreamMessageHandler,class,0.923941798941799,113711,0.59760015117158,104877,0.326341647770219,8834,7,10,2,0,10,10,5,1,0,0,0,0,0,139,GA
simulator.ontology.StepTotalConsumption,class,0.979166666666667,67251,0.958333333333333,4541,0.020833333333334,62710,7,10,1,0,4,0,10,10,0,3,0,0,0,27,GA
nu.staldal.lagoon.producer.IslandSplit,class,0.420612088997859,75523,0.421347148633848,73297,-0.000735059635989,2226,10,27,4,0,27,0,14,14,0,12,0,1,1,208,GA
