TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
org.quickserver.net.qsadmin.Data,class,1,9767,0.981481481481482,10635,0.018518518518518,0.918382698636577,2,6,1,0,0,9,6,6,0,3,0,0,0,40
de.huxhorn.lilith.swing.preferences.EditSourceNameDialog,class,0.134851421188631,107396,0,86970,0.134851421188631,1.23486259629757,7,36,8,0,28,143,22,20,0,6,0,0,0,228
wheel.AbstractEngine,class,0.64041514041514,71555,0.46011396011396,78031,0.18030118030118,0.917007343235381,4,8,1,2,6,15,7,4,3,2,0,2,1,75
org.sourceforge.ifx.framework.complextype.PartyAcctRelAddRq_Type,class,1,11867,0.956140350877193,70248,0.043859649122807,0.168930076301105,9,18,1,1,1,105,18,18,0,9,1,0,0,188
umd.cs.shop.JSState,class,0.568280705574913,81529,0.4227775012444,79327,0.145503204330513,1.02775851853719,9,26,5,0,28,28,8,6,0,1,0,0,10,178
osa.ora.server.ModernChatServer,class,0.138171697534269,84733,0.133364005226577,87488,0.004807692307692,0.9685099670812,18,259,1,0,132,220,60,52,2,18,0,2,82,1366
org.sourceforge.ifx.framework.complextype.BankAcctTrnImgInqRs_Type,class,1,76035,0.932203389830508,103164,0.067796610169492,0.737030359427707,25,50,1,1,1,1081,50,50,0,25,1,0,0,476
com.mentorgen.tools.profile.output.ProfileDump,class,1,17768,0.690476190476191,31485,0.309523809523809,0.56433222169287,1,3,1,0,2,0,1,1,1,0,0,0,4,56
de.huxhorn.lilith.swing.preferences.SoundsPanel,class,0.279564394663405,74770,0.247303031461447,101622,0.032261363201958,0.735765877467478,13,22,7,0,43,7,11,9,0,10,0,0,0,213
org.exolab.jms.tools.migration.proxy.StreamMessageHandler,class,0.923941798941799,113711,0.59760015117158,104877,0.326341647770219,1.08423200511075,7,10,2,0,10,10,5,1,0,0,0,0,0,139
simulator.ontology.StepTotalConsumption,class,0.979166666666667,67251,0.958333333333333,4541,0.020833333333334,14.8097335388681,7,10,1,0,4,0,10,10,0,3,0,0,0,27
nu.staldal.lagoon.producer.IslandSplit,class,0.420612088997859,75523,0.421347148633848,73297,-0.000735059635989,1.03036959220705,10,27,4,0,27,0,14,14,0,12,0,1,1,208
